id,metric_type,age_group,sex,risk_level,condition_expr,priority,text_summary_template,text_evidence_template,text_action_template,evidence_ref,notes,feedback_text
IADL-青年期-男-要改善,KCL_IADL,青年期,男,要改善,COUNT_ON_KCL(1..5) >= 3,10,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),家事・買い物・金銭管理などのIADLタスクを週2回から再開。家族/地域の支援導入を検討。,Satake 2018（日老医誌55:319-328）; 厚労省KCL付録,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、青年期の男性のあなたは、要改善のリスクレベルに該当しています。手段的日常生活動作の低下は、生活機能の維持において重要なサインですので、家事や買い物、金銭管理などのタスクを週に2回から再開することをお勧めします。また、家族や地域の支援を導入することも検討してみてください。これは、生活習慣や環境を整えるために役立つでしょう。診断ではありませんが、もし不安な場合は専門家に相談することをお勧めします。
IADL-青年期-男-注意,KCL_IADL,青年期,男,注意,COUNT_ON_KCL(1..5) == 1　or 2,20,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),生活スケジュールの固定化（買い物・調理・家計管理）。小タスク分割で再開。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、青年期の男性のあなたは、日常生活動作の評価で「注意」のリスクレベルに該当しました。この状態は、買い物や調理、家計管理などの生活スケジュールを固定化し、日常の小さなタスクに分割して再開することが重要であることを示唆しています。生活リズムを整え、活動量を意識することで、日常生活の質を向上させることが期待できます。診断ではありませんが、もし不安な場合は、専門家に相談することをお勧めします。
IADL-青年期-男-正常,KCL_IADL,青年期,男,正常,COUNT_ON_KCL(1..5) == 0,30,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = 0,現状維持のための週間ルーティンを継続。負荷は小刻みに追加。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、日常生活動作において正常な状態が確認されました。具体的には、該当する項目はなく、生活機能の低下リスクは見られません。この状態を維持するためには、現在の週間ルーティンを継続し、少しずつ運動や活動の負荷を増やしていくことをお勧めします。生活リズムや活動量を整え、ストレス管理にも意識を向けてください。なお、何か不安なことがあれば、専門家に相談することも大切です。
IADL-青年期-女-要改善,KCL_IADL,青年期,女,要改善,COUNT_ON_KCL(1..5) >= 3,10,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),必要に応じ家族/地域支援を活用し、調理・買い物・金銭管理を段階復帰。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、「要改善」との評価が出ました。これは、調理や買い物、金銭管理といった日常生活の重要な活動において、支援が必要な状態を示しています。生活習慣や環境の調整を行い、必要に応じて家族や地域の支援を活用することをお勧めします。生活リズムを整え、ストレス管理にも意識を向けることで、日常生活の質を向上させる可能性があります。なお、これは診断ではありませんので、不安な場合は専門家に相談することをお勧めします。
IADL-青年期-女-注意,KCL_IADL,青年期,女,注意,COUNT_ON_KCL(1..5) == 1　or 2,20,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),曜日固定の家事スケジュールとリマインダ設定。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、日常生活動作のリスクレベルは「注意」とされています。この状態は、生活機能の低下を示す重要なサインであり、早期の対策が推奨されます。具体的には、曜日を固定した家事スケジュールを設定し、リマインダーを活用することで、日常生活のリズムを整えることが効果的です。生活習慣や環境を見直し、必要に応じて家族や地域の支援を受けることも考えてみてください。なお、これは診断ではありませんので、不安な場合は専門家に相談することをお勧めします。
IADL-青年期-女-正常,KCL_IADL,青年期,女,正常,COUNT_ON_KCL(1..5) == 0,30,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = 0,現状維持。週次の家事計画で変動を把握。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、日常生活において特に問題は見受けられません。現状を維持するためには、週次の家事計画を立てて、生活の変動を把握することが推奨されます。生活リズムや活動量を整え、ストレス管理にも意識を向けてください。なお、これは診断ではありませんので、何か不安なことがあれば、ぜひ相談してください。
IADL-壮年期-男-要改善,KCL_IADL,壮年期,男,要改善,COUNT_ON_KCL(1..5) >= 3,10,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),業務負荷の見直しと家事タスクの外部化（買物宅配等）を検討。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、要改善のリスクレベルに該当しました。この状況は、生活機能の低下を示す重要なサインであり、早期の対策が求められます。業務負荷の見直しや、買い物宅配などの家事タスクの外部化を検討することをお勧めします。生活習慣や環境の調整、地域や家族からの支援も重要ですので、不安な場合はぜひ相談してください。
IADL-壮年期-男-注意,KCL_IADL,壮年期,男,注意,COUNT_ON_KCL(1..5) == 1　or 2,20,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),家計管理の自動化（口座引落/家計アプリ）で負担軽減。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、日常生活動作の評価において「注意」のリスクレベルに該当しました。この状態は、日常生活における買い物や食事の準備、家計管理などの活動において、少しの支援が必要なサインと考えられます。そこで、家計管理の自動化（口座引落や家計アプリの利用）を検討することで、負担を軽減し、日常生活をよりスムーズにすることが推奨されます。診断ではありませんので、不安な場合はぜひ専門家に相談してください。
IADL-壮年期-男-正常,KCL_IADL,壮年期,男,正常,COUNT_ON_KCL(1..5) == 0,30,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = 0,維持のため、週1のまとめ家事・買物ルーティン。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、日常生活動作においてリスクレベルが正常と判定されました。この状態を維持するためには、週に1回のまとめて家事や買い物のルーティンを取り入れることをお勧めします。これにより、生活習慣を整え、健康を保つことができます。なお、これは診断ではありませんので、何か不安な点があれば、ぜひ相談してください。
IADL-壮年期-女-要改善,KCL_IADL,壮年期,女,要改善,COUNT_ON_KCL(1..5) >= 3,10,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),調理・買物の支援導入、家計管理の分担/委任を検討。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、要改善のリスクレベルに該当しました。具体的には、調理や買い物、家計管理などの手段的日常生活動作の低下が見られるため、早めの対策が重要です。調理や買い物の支援を導入したり、家計管理を家族や信頼できる人に分担・委任することを検討してみてください。生活習慣や環境の調整を行うことで、より良い生活を送る手助けとなるでしょう。なお、この評価は診断ではありませんので、不安な場合は専門家に相談することをお勧めします。
IADL-壮年期-女-注意,KCL_IADL,壮年期,女,注意,COUNT_ON_KCL(1..5) == 1　or 2,20,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = COUNT_ON_KCL(1..5),一部タスクをタイムブロック化して再開。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、日常生活動作の評価において注意が必要な状態です。これは、生活機能の低下の兆候と考えられ、早期の対策が重要です。今後は、一部のタスクをタイムブロック化して再開することをお勧めします。これにより、生活習慣の見直しや環境調整が進む可能性があります。なお、これは診断ではありませんので、不安な場合はぜひ相談してください。
IADL-壮年期-女-正常,KCL_IADL,壮年期,女,正常,COUNT_ON_KCL(1..5) == 0,30,{age_group}/{sex}｜IADL（#1?5）: {risk_level},根拠: IADL該当数 = 0,維持のため、週次レビューで滞りを早期検知。,同上,IADLはKCL#1?5。COUNT_ON_KCL(1..5)は#1?5のON数を意味するテンプレ表記。必要に応じて実装で置換。,日常生活動作の評価の結果、日常生活動作の評価は正常とされています。この結果は、日常生活の機能が良好であることを示しています。今後もこの状態を維持するためには、週次での生活状況のレビューを行い、何か滞りがあれば早期に気づくことが大切です。生活習慣や環境の調整、周囲の支援を活用することもおすすめします。なお、これは診断ではありませんので、不安な場合は専門家に相談してください。
